Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
08111  STUTTGART,STADT;301508;189027;106608;1894;2718;1168;1193
08115  BOEBLINGEN;248281;159719;84350;1429;1837;749;869
08116  ESSLINGEN;324901;213997;106569;1896;1830;346;534
08117  GOEPPINGEN;161062;104146;54545;1285;848;130;196
08118  LUDWIGSBURG;324853;219028;101142;2184;1797;421;625
08119  REMS-MURR-KREIS;258473;173677;81359;1869;1130;329;383
08121  HEILBRONN,STADT;65650;42434;22257;541;333;64;77
08125  HEILBRONN;234957;144149;87519;1627;1299;312;322
08126  HOHENLOHEKREIS;79985;43212;35707;670;270;70;117
08127  SCHWAEBISCH-HALL;124446;73779;48766;1235;451;112;187
08128  MAIN-TAUBER-KREIS;86772;52591;32697;788;604;58;76
08135  HEIDENHEIM;80964;51965;27905;740;264;50;78
08136  OSTALBKREIS;199147;123593;72979;1375;974;199;204
08211  BADEN-BADEN,STADT;34025;21421;12169;156;216;39;56
08212  KARLSRUHE,STADT;139186;88677;48088;1283;831;171;274
08215  KARLSRUHE;272015;181051;87082;2115;1333;200;378
08216  RASTATT;147332;97794;47776;993;572;96;172
08221  HEIDELBERG,STADT;59986;38155;20960;408;352;57;94
08222  MANNHEIM,STADT;149700;97845;49677;1051;927;184;178
08225  NECKAR-ODENWALD-KREIS;91115;56990;33002;704;341;52;62
08226  RHEIN-NECKAR-KREIS;344339;225661;113421;2355;2370;1104;460
08231  PFORZHEIM,STADT;60313;39897;19554;447;311;63;96
08235  CALW;100553;62594;36603;860;323;55;149
08236  ENZKREIS;127963;85974;40221;1031;517;109;197
08237  FREUDENSTADT;74114;44277;28860;483;390;114;92
08311  FREIBURG I.BREISG.STADT;91325;55772;33938;781;606;112;207
08315  BREISGAU-HOCHSCHWARZWALD;154267;98773;53246;1021;880;135;305
08316  EMMENDINGEN;97729;64389;31986;722;466;63;154
08317  ORTENAUKREIS;263415;170923;89728;1549;866;190;297
