StadtID;Einwohner;Haushaltseinkommen;Bruttoverdienst;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Diffferenz
ID 1001;85942;1573;2261,6;2867;2521;3052;531
ID 1002;246306;1522,4;2570,3;3129;2898;3334;436
ID 1003;216253;1571,8;2412,9;2885;2700;2998;298
ID 1004;79197;1506,1;2340,4;2699;2486;2782;296
ID 1051;132917;1707,3;2197,3;2749;2237;2916;679
ID 1053;192999;1890,4;2271;2676;2350;2833;483
ID 1054;163960;1903,4;2215,7;2619;2210;2773;563
ID 1055;199574;1805,5;2049,3;2480;2235;2611;376
ID 1056;307471;1971,1;2442,2;2864;2563;2996;433
ID 1057;128304;1799,3;2009;2610;2288;2727;439
ID 1058;270378;1839,2;2221,7;2778;2416;2909;493
ID 1059;196839;1733,8;2065,7;2565;2285;2654;369
ID 1060;267503;1836,2;2425,1;2816;2591;2932;341
ID 1061;131457;1737,8;2242,5;2815;2431;2962;531
ID 1062;239614;2049,5;2485,7;2873;2619;2995;376
ID 2000;1787408;1957,1;3182,4;3444;3061;3758;697
ID 3101;251364;1646;2742,2;3247;2805;3590;785
ID 3102;101079;1603,7;3115,5;3785;3146;3902;756
ID 3103;124045;1760,6;4189,4;4504;3736;4733;997
ID 3151;174205;1723,9;2121;2907;2320;3111;791
ID 3152;255653;1614;2471,8;2981;2760;3108;348
ID 3153;138236;1645,6;2266,4;2727;2309;2947;638
ID 3154;91500;1745,8;2159,5;2536;2104;2763;659
ID 3155;134896;1710,9;2273,3;2757;2370;2883;513
ID 3156;73885;1709;2296,8;2796;2071;3005;934
ID 3157;132320;1665,5;2179,1;2800;2374;2974;600
ID 3158;120981;1690,2;2170,7;2786;2489;2951;462
ID 3241;1144481;1671,6;2742;3194;2872;3411;539
ID 3251;213976;1794,2;2116,3;2669;2296;2789;493
ID 3252;148281;1713,4;2424,5;2970;2634;3184;550
ID 3254;277055;1663;2313,9;2885;2504;3045;541
ID 3255;71659;1691,5;2406,8;2934;2448;3040;592
ID 3256;120632;1663,3;2201,1;2671;2290;2782;492
ID 3257;156206;1715,1;2196,3;2750;2378;2886;508
ID 3351;177971;1620,7;2400,9;2984;2580;3137;557
ID 3352;198103;1709,1;2030,1;2670;2210;2853;643
ID 3353;248122;1994,6;2152,7;2632;2337;2756;419
ID 3354;50128;1585,3;2000;2485;2031;2655;624
ID 3355;180719;1613,1;2219,2;2728;2444;2853;409
ID 3356;113579;1767,6;2021,7;2580;2175;2734;559
ID 3357;163253;1710,3;2125,4;2689;2288;2815;527
ID 3358;140264;1639,7;2207,2;2757;2312;2923;611
ID 3359;200054;1775,6;2332,6;2954;2440;3175;735
ID 3360;93131;1637,5;2060,3;2586;2288;2736;448
ID 3361;134645;1881,9;2381;2801;2396;2954;558
ID 3401;76323;1545,1;1906,8;2724;2413;2942;529
ID 3402;50694;1500,6;2744,9;3438;2605;3791;1186
ID 3403;163830;1572,7;2419,3;2960;2675;3158;483
ID 3404;162403;1675;2383,8;3048;2613;3279;666
ID 3405;75995;1459,7;2396,2;3031;2572;3222;650
ID 3451;121435;1729,5;2224,3;2652;2272;2769;497
ID 3452;189199;1540,2;1983,6;2573;2127;2727;600
ID 3453;164734;1575,8;2047,3;2512;1972;2649;677
ID 3454;319488;1593,9;2217,3;2828;2220;2982;762
ID 3455;97900;1612,1;2167,4;2695;2155;2941;786
ID 3456;135662;1524,2;2067,3;2686;2128;2854;726
ID 3457;167548;1455,9;1963,8;2622;2246;2742;496
ID 3458;128608;1765,5;2055,4;2538;2099;2670;571
ID 3459;358079;1750,8;2141,5;2680;2185;2843;658
ID 3460;137866;1753,9;2186,5;2675;2050;2841;791
ID 3461;89239;1679,2;2548,3;3264;2495;3457;962
ID 3462;57173;1586,6;1937,7;2483;1964;2700;736
ID 4011;557464;1710,2;2708,9;3331;2851;3639;788
ID 4012;114025;1441,9;2601,8;3041;2584;3269;685
ID 5111;612178;2000,9;3435,9;3690;3244;4087;843
ID 5112;491231;1398,7;2894;3326;2961;3469;508
ID 5113;582624;1664,8;2891,2;3304;2986;3528;542
ID 5114;225144;1743,6;2888,8;3352;2870;3581;711
ID 5116;259996;1720,6;2507,5;2950;2661;3117;456
ID 5117;169278;1902,9;2912,6;3373;2949;3583;634
ID 5119;210934;1495,6;2567,8;3145;2775;3316;541
ID 5120;109499;1847,4;2773,8;3177;2752;3331;579
ID 5122;158726;1924,6;2513,5;2938;2626;3106;480
ID 5124;350046;1724;2715,9;3191;2925;3372;447
ID 5154;310337;1631,3;2178,4;2748;2365;2888;523
ID 5158;483279;2040,8;3018,7;3291;2928;3468;540
ID 5162;450026;1969,8;2973,4;3263;2817;3497;680
ID 5166;297661;1831,9;2407,2;2882;2607;2994;387
ID 5170;462664;1744,3;2321,3;2894;2515;3064;549
ID 5314;318809;1908,9;3170;3621;3264;3977;713
ID 5315;1060582;1722,9;3128,6;3506;3141;3794;653
ID 5316;163487;1673;3387,4;3951;3326;4232;906
ID 5334;553922;1633,8;2598,4;3158;2773;3386;613
ID 5358;262828;1683,5;2374,7;3110;2719;3276;557
ID 5362;466657;1789,6;2679,3;3074;2653;3262;609
ID 5366;191165;1715,8;2353,1;2914;2565;3073;508
ID 5370;252527;1578,2;2181,5;2779;2414;2927;513
ID 5374;273452;1848,2;2560,7;3142;2621;3329;708
ID 5378;282729;2043,3;2420,1;3040;2719;3200;481
ID 5382;596213;1883,5;2325,5;2914;2593;3069;476
ID 5512;117143;1599;2403,1;3064;2604;3207;603
ID 5513;260368;1345,1;2611,5;3074;2775;3265;490
ID 5515;310039;1836,4;2806,8;3241;2970;3475;505
ID 5554;369666;1708,4;2297,8;2940;2375;3093;718
ID 5558;218401;1845,2;2221;2825;2419;2961;542
ID 5562;617807;1616,2;2459,5;2995;2674;3151;477
ID 5566;443374;1701,2;2306,6;2839;2381;3001;620
ID 5570;277431;1837,3;2487,5;3043;2601;3190;589
ID 5711;333090;1760,7;2648,5;3137;2836;3327;491
ID 5754;360642;1935,3;2655,5;3041;2542;3186;644
ID 5758;252122;1851,1;2491,4;2885;2516;3026;510
ID 5762;144010;1668,1;2202,9;2769;2304;2893;589
ID 5766;350750;1882,5;2478,2;2996;2714;3111;397
ID 5770;313050;1804,7;2530,1;2908;2579;3052;473
ID 5774;304332;1657,4;2437;2919;2510;3071;561
ID 5911;364742;1618,2;2625;3168;2850;3357;507
ID 5913;586181;1511,2;2650;3181;2902;3362;460
ID 5914;189044;1664,8;2676,6;3151;2787;3331;544
ID 5915;179397;1478,3;2415,1;2903;2472;3081;609
ID 5916;155851;1472,3;2725,4;3132;2828;3279;451
ID 5954;325954;2019,1;2608,7;3130;2713;3280;567
ID 5958;263762;1897,5;2388,1;3017;2482;3172;690
ID 5962;416171;2062,7;2674,6;3125;2617;3322;705
ID 5966;136365;2262;2507,5;3115;2572;3305;733
ID 5970;280800;1943,7;2732,2;3250;2674;3453;779
ID 5974;302995;1776;2447,4;2986;2504;3159;655
ID 5978;396035;1689,9;2454,9;2827;2497;2992;495
ID 6411;155353;1752,3;3137;3914;3338;4279;941
ID 6412;732688;1693,5;3565,1;3956;3463;4337;874
ID 6413;123734;1444,2;2970;3426;3090;3656;566
ID 6414;276218;1849,4;3096,1;3576;3234;3846;612
ID 6431;266928;1856,4;2521,5;2884;2514;3055;541
ID 6432;292773;1902,1;2542,1;2947;2652;3096;444
ID 6433;266042;1661;3059,9;3548;2972;3764;792
ID 6434;233427;2432;3015,1;3709;3290;3996;706
ID 6435;411956;1806,1;2640,3;3015;2702;3167;465
ID 6436;232848;2139,7;3201,5;3892;3494;4197;703
ID 6437;97000;1688,5;2410;2792;2292;3004;712
ID 6438;347357;1884,5;2910;3301;2961;3505;544
ID 6439;184114;1971,9;2451,2;3008;2754;3159;405
ID 6440;301931;1827,9;2631,2;2992;2672;3141;469
ID 6531;262505;1627,8;2561,2;3063;2805;3200;395
ID 6532;253167;1817,3;2640,2;3122;2636;3294;658
ID 6533;171922;1741,2;2540,7;2816;2531;2933;402
ID 6534;245241;1643,4;2615,2;3130;2666;3302;636
ID 6535;107256;1712,1;2363,4;2794;2384;2933;549
ID 6611;197984;1549,1;2779,5;3245;2888;3454;566
ID 6631;220132;1727,9;2605,5;2772;2391;2912;521
ID 6632;121166;1690,5;2717,8;2716;2227;2945;718
ID 6633;235813;1799,2;2831,8;3300;2506;3655;1149
ID 6634;180310;1709,7;2652,4;2847;2561;2956;395
ID 6635;157592;1741,1;2562,1;2890;2306;3111;805
ID 6636;100715;1612,8;2329,5;2688;2279;2804;525
ID 7111;112586;1681,9;2793,3;3171;2851;3394;543
ID 7131;127770;1865,8;2200,8;2753;2384;2881;497
ID 7132;129171;1727,5;2217,7;2854;2425;3002;577
ID 7133;156821;1775,6;2351,6;2941;2580;3094;514
ID 7134;80615;1782,7;2221,8;2714;2382;2830;448
ID 7135;62391;1825;2117,2;2707;2262;2887;625
ID 7137;211925;1793,8;2288,7;2794;2426;2927;501
