kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
1001;Flensburg, Stadt;Schleswig-Holstein;88500;27.3;25.8;18481;70429;39695;285;39410;6829;5676;14604;2349;2477;1987;222;285
1002;Kiel, Landeshauptstadt;Schleswig-Holstein;247900;29.1;23.8;18810;186180;109613;580;109033;18313;17912;40326;6492;6458;5271;675;1137
1003;Lübeck, Hansestadt;Schleswig-Holstein;216300;21.5;29.3;19575;166530;90946;461;90485;18416;17566;28633;4231;6773;4174;332;935
1004;Neumünster, Stadt;Schleswig-Holstein;79300;20.5;28.7;18922;60225;29036;231;28805;7039;5286;7809;1041;2761;1539;62;114
1051;Dithmarschen;Schleswig-Holstein;133400;17.9;31.5;21571;107045;58286;517;57769;17955;10294;12121;2002;5121;4498;100;185
1053;Herzogtum Lauenburg;Schleswig-Holstein;196100;17.1;28.6;22961;152726;91918;623;91295;24912;15942;23552;3168;8356;5774;196;505
1054;Nordfriesland;Schleswig-Holstein;165500;18.6;30.6;24384;131876;77706;518;77188;23443;12566;22580;2449;4373;4432;146;337
1055;Ostholstein;Schleswig-Holstein;200600;15.5;34.6;22569;165528;97929;742;97187;28575;18497;24639;2822;7844;6007;182;356
1056;Pinneberg;Schleswig-Holstein;312700;17.9;28.2;24124;239301;150902;1060;149842;39174;26017;43304;5485;11685;9475;453;794
1057;Plön;Schleswig-Holstein;128800;15.5;32.7;22362;104848;66944;443;66501;18150;11683;19797;2067;4846;3618;141;291
1058;Rendsburg-Eckernförde;Schleswig-Holstein;273000;16.7;29.9;23135;218466;136614;797;135817;38936;22593;39806;4221;9206;7544;328;531
1059;Schleswig-Flensburg;Schleswig-Holstein;199500;17.1;30.3;21871;159623;95584;683;94901;27527;15339;28886;3123;5704;4739;170;408
1060;Segeberg;Schleswig-Holstein;274000;18;27.9;22953;212746;126634;816;125818;34078;21105;33886;4597;10296;8446;308;653
1061;Steinburg;Schleswig-Holstein;131600;17.8;29.1;21119;104587;60584;469;60115;17289;9846;16148;2159;4674;3681;98;287
1062;Stormarn;Schleswig-Holstein;242500;16.2;29.2;25006;187460;124544;763;123781;33153;20093;36317;4178;9845;8519;304;716
2000;Hamburg, Freie und Hansestadt;Hamburg;1830600;24.4;23.4;24421;1302539;803117;9936;793181;140023;157023;247147;55171;51381;44292;6337;9411
3101;Braunschweig, Stadt;Niedersachsen;248000;25.1;26.8;21419;190414;122201;589;121612;27463;24206;34112;5763;8327;6279;565;1612
3102;Salzgitter, Stadt;Niedersachsen;104500;20;29.2;19585;72737;37225;406;36819;9267;9457;5440;1759;5519;1538;50;144
3103;Wolfsburg, Stadt;Niedersachsen;123900;21.3;28.4;24083;89191;50390;324;50066;14495;12056;8970;1811;5105;2482;102;217
3151;Gifhorn;Niedersachsen;175100;18.5;26.5;23101;136223;82780;516;82264;26024;17358;15740;2628;8047;3943;181;355
